1000 3000
1 240 -1
1 358 -1
1 699 -1
1 713 -1
1 897 -1
1 926 1
2 212 -1
2 368 1
2 455 1
2 587 1
2 829 -1
2 890 -1
3 298 1
3 572 1
3 664 -1
3 726 1
3 853 1
3 927 1
4 143 1
4 348 1
4 403 1
4 445 1
4 693 1
4 722 1
5 295 1
5 448 -1
5 509 -1
5 543 -1
5 642 1
5 690 -1
6 99 1
6 264 1
6 627 1
6 715 1
6 828 1
6 860 -1
7 134 1
7 452 -1
7 483 1
7 581 1
7 593 -1
7 701 -1
8 27 1
8 79 -1
8 272 1
8 616 1
8 733 -1
8 849 -1
9 38 1
9 157 1
9 257 -1
9 486 -1
9 654 -1
9 959 1
10 801 -1
10 803 -1
10 810 1
10 876 -1
10 886 1
10 964 1
11 103 1
11 177 1
11 181 -1
11 657 -1
11 719 -1
11 756 1
12 175 1
12 241 -1
12 287 -1
12 525 -1
12 825 -1
12 888 1
13 89 -1
13 156 -1
13 309 1
13 429 1
13 686 -1
13 933 -1
14 352 1
14 439 -1
14 456 -1
14 535 -1
14 553 1
14 872 -1
15 25 -1
15 346 -1
15 367 -1
15 780 1
15 924 -1
15 996 -1
16 139 -1
16 169 1
16 205 1
16 276 -1
16 396 1
16 644 1
17 19 -1
17 223 -1
17 481 1
17 589 -1
17 714 -1
17 797 1
18 273 1
18 536 -1
18 586 -1
18 637 1
18 671 -1
18 795 -1
19 131 1
19 191 -1
19 599 -1
19 603 1
19 813 1
20 383 1
20 576 -1
20 632 1
20 710 -1
20 906 1
20 974 1
21 69 1
21 109 -1
21 142 -1
21 457 -1
21 952 1
21 973 -1
22 33 -1
22 164 1
22 357 -1
22 515 1
22 560 -1
22 765 -1
23 50 1
23 373 -1
23 882 1
23 930 1
23 944 1
23 984 1
24 126 1
24 140 -1
24 166 1
24 251 -1
24 650 -1
24 768 1
25 51 1
25 75 -1
25 296 -1
25 741 -1
25 743 1
26 204 1
26 231 1
26 518 1
26 615 -1
26 786 -1
26 975 -1
27 67 -1
27 157 1
27 654 -1
27 830 1
27 988 1
28 380 1
28 428 -1
28 466 -1
28 537 -1
28 745 1
28 812 -1
29 30 1
29 118 1
29 404 -1
29 687 -1
29 742 -1
29 958 -1
30 109 -1
30 337 -1
30 565 1
30 720 1
30 952 1
31 100 1
31 571 -1
31 594 1
31 634 1
31 696 -1
31 754 1
32 97 -1
32 178 -1
32 482 -1
32 538 -1
32 554 1
32 656 -1
33 50 1
33 373 1
33 587 1
33 792 1
33 890 1
34 187 -1
34 371 -1
34 418 1
34 558 -1
34 602 1
34 868 1
35 169 1
35 175 -1
35 294 -1
35 450 -1
35 524 1
35 724 -1
36 228 1
36 266 1
36 519 1
36 604 1
36 788 -1
36 893 -1
37 84 -1
37 121 1
37 207 -1
37 485 1
37 534 1
37 779 1
38 190 1
38 446 -1
38 693 -1
38 722 1
38 914 1
39 59 1
39 123 1
39 412 1
39 547 1
39 618 1
39 957 -1
40 45 1
40 110 1
40 165 1
40 584 -1
40 633 1
40 763 1
41 184 -1
41 280 -1
41 372 -1
41 489 1
41 931 1
41 935 1
42 331 -1
42 513 1
42 556 -1
42 607 -1
42 694 1
42 837 -1
43 285 -1
43 321 -1
43 526 -1
43 821 1
43 896 1
43 941 -1
