1000 10000
1 72 2
1 83 2
1 131 -1
1 303 3
1 432 3
1 480 2
1 524 3
1 533 -1
1 576 2
1 608 2
1 622 3
1 626 2
1 724 2
1 742 3
1 761 1
1 781 3
1 797 -1
1 822 -1
1 925 3
2 18 2
2 44 3
2 63 1
2 109 -1
2 114 3
2 164 1
2 310 1
2 314 -1
2 349 -1
2 470 1
2 473 2
2 543 1
2 577 3
2 588 2
2 650 -1
2 733 2
2 810 3
2 848 -1
2 881 2
2 889 -1
3 36 -1
3 58 1
3 119 1
3 123 1
3 190 1
3 258 1
3 264 2
3 282 1
3 286 -1
3 338 -1
3 371 3
3 372 -1
3 423 3
3 435 3
3 464 1
3 475 3
3 501 1
3 548 3
3 625 2
3 636 2
3 654 3
3 658 3
3 704 1
3 724 1
3 748 1
3 834 3
3 857 3
3 908 2
4 25 -1
4 78 2
4 123 -1
4 142 -1
4 202 1
4 229 3
4 311 2
4 390 3
4 416 1
4 488 1
4 587 1
4 653 1
4 658 -1
4 748 2
4 770 2
4 790 2
4 887 1
5 68 2
5 81 1
5 112 2
5 126 3
5 144 1
5 189 3
5 190 1
5 285 2
5 319 3
5 320 3
5 402 -1
5 404 2
5 417 3
5 455 -1
5 477 1
5 556 -1
5 631 1
5 649 -1
5 704 3
5 749 3
5 777 -1
5 871 3
5 918 -1
5 944 -1
5 961 1
5 983 2
5 987 2
5 996 1
6 23 3
6 62 2
6 121 2
6 125 2
6 136 1
6 169 1
6 210 -1
6 304 2
6 352 2
6 383 -1
6 449 -1
6 484 3
6 615 2
6 623 3
6 651 2
6 724 2
6 729 3
6 763 1
6 789 2
6 850 -1
6 872 -1
6 876 2
6 957 -1
7 24 2
7 112 -1
7 120 2
7 172 1
7 213 3
7 218 2
7 308 3
7 309 -1
7 324 1
7 399 3
7 449 2
7 511 1
7 560 -1
7 562 -1
7 653 -1
7 856 2
7 862 -1
7 901 2
7 990 2
8 19 1
8 34 3
8 115 3
8 125 3
8 172 3
8 215 3
8 220 1
8 229 2
8 266 -1
8 268 2
8 308 3
8 362 2
8 402 3
8 419 -1
8 522 -1
8 579 2
8 583 1
8 586 3
8 679 -1
8 716 2
8 740 -1
8 782 -1
8 826 -1
8 960 2
8 971 1
9 39 3
9 96 2
9 146 3
9 161 2
9 172 2
9 179 -1
9 198 2
9 354 1
9 362 3
9 415 -1
9 491 2
9 505 3
9 545 2
9 568 -1
9 580 2
9 683 1
9 696 1
9 703 3
9 726 1
9 763 2
9 782 1
9 792 3
9 914 -1
9 937 3
10 56 -1
10 59 3
10 81 2
10 99 1
10 149 3
10 221 1
10 237 2
10 248 2
10 303 3
10 400 -1
10 559 3
10 569 1
10 582 2
10 644 -1
10 713 -1
10 745 1
10 789 1
10 804 -1
10 827 1
10 900 3
10 991 -1
11 68 1
11 182 1
11 185 -1
11 188 -1
11 190 2
11 194 1
11 195 2
11 201 3
11 207 3
11 226 1
11 241 1
11 304 3
11 451 1
11 453 2
11 478 -1
11 479 3
11 587 3
11 716 3
11 729 2
11 843 -1
11 973 1
12 36 3
12 113 1
12 130 1
12 200 1
12 265 -1
12 294 1
12 462 3
12 474 3
12 637 -1
12 640 1
12 832 -1
12 860 2
12 889 2
12 901 -1
12 961 3
12 977 -1
13 61 -1
13 88 -1
13 101 1
13 116 1
13 213 3
13 230 2
13 296 -1
13 304 3
13 348 3
13 419 2
13 557 2
13 580 1
13 617 3
13 628 1
13 698 2
13 721 -1
13 727 2
13 803 3
13 866 3
13 896 3
13 931 -1
13 945 -1
14 56 3
14 108 1
14 138 1
14 166 1
14 170 2
14 174 1
14 187 -1
14 406 3
14 454 1
14 470 -1
14 484 -1
14 539 3
14 541 1
14 572 1
14 714 1
14 773 -1
14 803 -1
14 941 -1
15 87 2
15 169 3
15 258 -1
15 301 -1
15 345 -1
15 378 3
15 394 1
15 396 1
15 435 2
15 532 2
15 545 2
15 625 1
15 688 -1
15 715 -1
15 872 2
16 70 1
16 81 2
16 163 1
16 181 -1
16 223 3
16 293 1
16 324 -1
16 363 3
16 500 -1
16 571 2
16 723 1
16 782 3
16 865 1
17 37 -1
17 64 2
17 102 3
17 120 -1
17 123 2
17 218 2
17 228 2
17 263 2
17 269 2
17 281 -1
17 357 1
17 457 2
17 512 2
17 594 -1
17 596 2
17 626 3
17 678 3
17 737 2
17 854 -1
17 855 2
17 860 -1
17 870 1
17 873 -1
17 967 -1
18 50 -1
18 84 1
18 99 2
18 104 3
18 129 3
18 167 3
18 184 3
18 197 -1
18 248 -1
18 265 1
18 273 -1
18 359 1
18 378 1
18 396 3
18 522 2
18 636 1
18 690 2
18 705 3
18 745 2
18 752 -1
18 760 3
18 765 2
18 867 3
18 907 2
18 957 2
18 991 -1
19 57 2
19 70 3
19 121 1
19 130 -1
19 245 2
19 299 3
19 321 -1
19 342 3
19 352 -1
19 368 3
19 397 1
19 721 1
19 727 3
19 825 -1
19 847 1
19 896 3
19 910 1
19 929 2
20 36 1
20 83 1
20 98 1
20 134 2
20 143 3
20 152 2
20 245 3
20 277 3
20 298 1
20 322 2
20 370 1
20 391 2
20 420 2
20 466 2
20 543 1
20 597 3
20 729 3
20 742 -1
20 819 2
20 846 -1
20 883 2
20 913 2
20 933 1
20 952 2
21 25 2
21 162 1
21 528 3
21 606 2
21 641 3
21 658 3
21 739 -1
21 755 1
21 930 -1
21 972 2
21 998 3
22 37 3
22 60 2
22 110 3
22 199 3
22 203 -1
22 215 3
22 228 -1
22 255 1
22 319 -1
22 365 1
22 425 1
22 466 3
22 493 -1
22 580 3
22 685 3
22 723 3
22 816 -1
22 825 2
22 856 1
22 858 3
22 888 1
22 899 2
22 943 -1
23 24 3
23 29 1
23 49 2
23 90 3
23 183 1
23 219 1
23 230 1
23 234 2
23 266 1
23 317 3
23 329 -1
23 345 2
23 364 2
23 380 2
23 392 2
23 418 2
23 500 -1
23 558 3
23 565 2
23 678 1
23 802 1
23 837 -1
23 874 2
23 875 3
23 917 3
23 925 3
23 968 2
24 64 2
24 78 1
24 87 3
24 108 2
24 111 -1
24 445 3
24 482 1
24 592 3
24 654 -1
24 656 2
24 810 3
24 826 -1
24 902 2
25 31 -1
25 35 -1
25 88 3
25 89 1
25 94 -1
25 108 3
25 124 -1
25 186 -1
25 194 3
25 265 -1
25 293 3
25 307 2
25 325 1
25 327 -1
25 386 3
25 415 2
25 426 3
25 459 3
25 475 3
25 494 2
25 519 -1
25 536 1
25 547 -1
25 597 2
25 599 1
25 654 2
25 748 -1
25 892 -1
25 924 -1
25 950 2
25 953 1
26 68 1
26 81 2
26 238 2
26 290 -1
26 301 -1
26 309 3
26 391 2
26 406 -1
26 471 -1
26 503 1
26 569 3
26 629 -1
26 637 -1
26 683 2
26 706 1
26 737 2
26 844 2
26 852 1
26 996 3
26 997 1
27 69 3
27 74 -1
27 133 -1
27 257 3
27 574 2
27 582 -1
27 611 1
27 636 2
27 641 1
27 664 -1
27 668 2
27 699 3
27 704 -1
27 747 -1
27 769 2
27 786 2
27 805 2
27 813 3
27 875 1
27 881 1
27 888 1
27 911 1
27 964 2
28 46 -1
28 52 1
28 66 1
28 115 3
28 135 1
28 149 1
28 179 1
28 230 3
28 268 3
28 309 -1
28 345 1
28 382 2
28 558 -1
28 661 3
28 847 -1
28 915 1
28 921 3
28 962 -1
28 981 -1
28 986 2
29 31 2
29 179 1
29 217 -1
29 291 1
29 333 1
29 392 -1
29 499 3
29 525 3
29 540 3
29 552 -1
29 618 1
29 643 3
29 654 2
29 666 -1
29 762 -1
29 855 2
29 875 3
29 926 1
29 949 2
29 987 -1
30 37 1
30 112 3
30 200 1
30 245 2
30 270 3
30 331 3
30 377 3
30 443 -1
30 446 2
30 479 3
30 495 1
30 526 -1
30 579 1
30 631 -1
30 731 -1
30 865 2
30 935 3
31 154 2
31 178 -1
31 256 1
31 265 2
31 300 3
31 349 1
31 474 1
31 480 -1
31 585 3
31 597 3
31 601 -1
31 781 3
31 889 1
31 913 -1
31 1000 3
32 66 2
32 218 1
32 251 -1
32 260 -1
32 345 2
32 452 1
32 483 -1
32 484 2
32 694 1
32 723 1
32 724 2
32 770 -1
32 830 -1
32 876 3
32 879 1
32 895 -1
32 933 2
32 961 2
33 74 -1
33 89 -1
33 129 -1
33 210 3
33 233 -1
33 264 1
33 363 2
33 410 2
33 430 3
33 510 1
33 532 1
33 540 -1
33 706 3
33 795 -1
33 801 -1
33 824 3
33 835 2
33 903 2
33 913 -1
34 130 3
34 159 -1
34 178 -1
34 251 3
34 330 2
34 355 3
34 504 -1
34 511 2
34 702 1
34 720 1
34 835 -1
34 864 2
35 96 -1
35 163 -1
35 225 -1
35 230 3
35 322 1
35 336 2
35 428 -1
35 432 2
35 465 -1
35 514 1
35 518 3
35 522 2
35 678 1
35 682 2
35 686 3
35 730 3
35 754 -1
35 778 3
35 935 2
35 972 2
35 992 3
36 41 2
36 70 2
36 94 1
36 127 2
36 199 -1
36 236 1
36 250 1
36 254 1
36 300 2
36 372 -1
36 387 3
36 417 2
36 506 3
36 542 2
36 646 3
36 652 2
36 700 2
36 736 -1
36 765 1
36 854 2
36 957 1
37 67 3
37 74 -1
37 116 1
37 298 3
37 362 1
37 388 -1
37 389 -1
37 440 2
37 441 1
37 514 1
37 556 2
37 605 -1
37 645 -1
37 737 -1
37 767 3
37 785 3
37 820 2
37 874 3
37 883 -1
37 906 1
37 932 -1
37 935 -1
37 946 -1
37 955 3
38 39 2
38 60 2
38 144 3
38 207 3
38 241 1
38 279 -1
38 287 2
38 320 -1
38 321 -1
38 352 2
38 371 3
38 418 3
38 435 -1
38 448 3
38 517 -1
38 518 -1
38 547 1
38 566 3
38 587 1
38 655 2
38 780 -1
38 827 2
38 853 1
38 863 1
38 926 3
38 961 -1
39 243 1
39 260 -1
39 390 1
39 429 2
39 534 -1
39 617 1
39 660 1
39 760 2
39 847 -1
39 879 -1
39 890 2
39 961 2
39 997 3
40 87 2
40 121 2
40 232 1
40 295 2
40 342 2
40 355 3
40 363 1
40 377 3
40 405 -1
40 410 2
40 442 2
40 548 2
40 558 -1
40 560 3
40 622 2
40 674 2
40 687 2
40 760 3
40 761 -1
40 864 2
40 874 2
40 875 3
40 935 3
40 981 2
41 211 1
41 232 3
41 277 -1
41 359 3
41 364 1
41 409 -1
41 463 2
41 551 -1
41 553 3
41 662 -1
41 720 3
41 822 -1
41 873 -1
41 992 -1
42 70 -1
42 120 3
42 133 1
42 176 3
42 224 -1
42 270 3
42 442 2
42 454 -1
42 458 3
42 459 3
42 485 -1
42 537 2
42 540 3
42 545 2
42 658 -1
42 669 2
42 754 2
42 756 -1
42 769 -1
42 821 2
42 870 3
42 952 2
43 166 3
43 206 2
43 222 -1
43 259 -1
43 279 3
43 296 1
43 375 2
43 393 -1
43 484 3
43 497 2
43 508 2
43 518 1
43 567 1
43 637 3
43 645 3
43 655 2
43 704 3
43 788 2
43 826 -1
43 872 2
43 875 -1
43 971 -1
44 230 1
44 312 -1
44 405 1
