800 1600
1 111 -1
1 189 -1
1 293 -1
1 328 -1
2 8 1
2 308 1
2 483 1
2 597 1
3 27 -1
3 239 -1
3 280 -1
3 664 -1
4 141 -1
4 254 1
4 531 1
4 590 1
5 89 -1
5 122 -1
5 123 -1
5 145 1
6 224 1
6 514 1
6 587 -1
6 658 -1
7 92 1
7 580 1
7 729 -1
7 792 1
8 496 1
8 670 1
8 712 -1
9 364 1
9 371 1
9 785 1
9 788 1
10 79 1
10 374 1
10 491 1
10 495 1
11 503 -1
11 649 -1
11 723 -1
11 747 1
12 27 1
12 239 1
12 536 -1
12 684 1
13 211 -1
13 318 1
13 354 1
13 558 -1
14 116 1
14 318 -1
14 558 -1
14 659 1
15 110 1
15 148 1
15 344 -1
15 454 -1
16 139 -1
16 381 -1
16 385 1
16 591 -1
17 187 1
17 377 1
17 517 1
17 768 -1
18 91 1
18 111 1
18 189 -1
18 692 -1
19 151 1
19 243 1
19 337 -1
19 544 1
20 159 -1
20 234 -1
20 697 1
20 753 1
21 126 1
21 243 1
21 257 -1
21 337 1
22 43 -1
22 370 -1
22 595 1
22 704 -1
23 242 1
23 253 1
23 269 1
23 303 1
24 186 -1
24 510 -1
24 631 1
24 793 1
25 89 1
25 123 1
25 355 -1
25 621 -1
26 246 -1
26 301 -1
26 466 -1
26 647 1
27 101 -1
27 262 -1
28 78 -1
28 366 -1
28 736 1
28 771 1
29 233 -1
29 395 -1
29 442 1
29 570 -1
30 48 -1
30 419 1
30 487 -1
30 740 1
31 489 -1
31 515 -1
31 607 -1
31 785 -1
32 218 -1
32 406 1
32 443 1
32 756 -1
33 184 -1
33 396 1
33 526 1
33 539 -1
34 447 1
34 534 1
34 662 -1
34 737 1
35 322 1
35 365 -1
35 439 -1
35 565 -1
36 92 -1
36 310 -1
36 532 1
36 705 -1
37 110 -1
37 148 1
37 338 -1
37 405 1
38 605 1
38 669 -1
38 723 -1
38 747 1
39 589 -1
39 715 1
39 730 -1
39 742 1
40 84 1
40 537 1
40 584 -1
40 778 1
41 547 1
41 563 1
41 611 -1
41 708 -1
42 70 -1
42 146 1
42 403 -1
42 665 1
43 277 -1
43 696 1
43 776 1
44 270 -1
44 327 1
44 552 1
44 722 1
45 199 -1
45 642 1
45 769 1
45 783 -1
46 58 -1
46 165 1
46 575 1
46 710 -1
47 197 -1
47 360 1
47 651 -1
47 789 1
48 231 -1
48 535 -1
48 720 -1
49 135 1
49 367 1
49 680 -1
49 729 -1
50 328 1
50 347 1
50 507 -1
50 590 -1
51 142 -1
51 508 1
51 569 1
51 790 1
52 105 1
52 292 -1
52 353 -1
52 673 -1
53 515 1
53 572 1
53 598 1
53 637 1
54 355 1
54 519 -1
54 621 1
54 679 1
55 84 1
55 420 -1
55 516 1
55 778 -1
56 481 1
56 715 1
56 717 -1
56 742 -1
57 107 1
57 255 1
57 672 -1
57 688 1
58 516 1
58 548 1
58 759 -1
59 204 -1
59 244 1
59 286 1
59 358 -1
60 88 1
60 107 -1
60 124 1
60 672 1
61 244 1
61 286 1
61 475 -1
61 600 -1
62 252 1
62 289 -1
62 472 1
62 639 1
63 102 1
63 468 -1
63 621 -1
63 679 1
64 371 -1
64 489 -1
64 757 -1
64 785 1
65 121 1
65 362 1
65 466 1
65 539 -1
66 197 -1
66 297 1
66 444 -1
66 800 1
67 71 -1
67 201 -1
67 276 1
67 481 -1
68 77 -1
68 268 -1
68 309 -1
68 744 -1
69 175 1
69 300 -1
69 506 -1
69 509 -1
70 79 -1
70 341 1
70 535 1
71 210 -1
71 373 -1
71 630 -1
72 151 -1
72 447 1
72 544 1
72 662 -1
73 165 1
73 376 -1
73 710 1
73 784 1
74 228 1
74 272 1
74 461 -1
74 646 1
75 531 -1
75 583 1
75 601 -1
75 755 -1
76 404 1
76 530 1
76 716 -1
76 782 1
77 99 1
77 261 -1
77 763 1
78 131 1
78 710 1
78 784 -1
79 403 1
79 761 -1
80 120 1
80 194 -1
80 451 1
80 645 1
81 199 -1
81 533 1
81 641 1
81 653 1
82 414 1
82 616 1
82 714 1
82 728 1
83 253 -1
83 269 1
83 512 -1
83 763 1
84 165 -1
84 376 -1
85 179 1
85 299 -1
85 329 1
85 497 -1
86 203 -1
86 285 -1
86 386 -1
86 654 1
87 356 -1
87 482 -1
87 650 1
87 720 1
88 191 1
88 361 -1
88 603 1
89 178 1
89 675 1
90 484 1
90 530 -1
90 655 -1
90 745 -1
91 259 1
91 324 1
91 383 1
92 695 1
92 796 -1
93 145 -1
93 161 -1
93 202 1
93 212 1
94 146 -1
94 317 -1
94 665 1
94 794 1
95 184 1
95 258 1
95 396 1
95 424 -1
96 139 -1
96 591 1
96 769 1
96 783 1
97 108 1
97 110 -1
97 405 1
97 541 -1
98 197 1
98 249 1
98 297 1
98 651 1
99 360 -1
99 445 1
99 789 1
100 287 1
100 406 1
100 443 1
100 459 -1
101 334 1
101 536 -1
101 766 1
102 666 -1
102 760 1
102 791 -1
103 313 1
103 331 1
103 519 -1
103 679 1
104 333 1
104 359 1
104 378 -1
104 429 1
105 106 -1
105 289 -1
105 472 -1
106 112 -1
106 292 -1
106 424 -1
107 440 -1
107 585 1
108 480 1
108 504 -1
108 767 -1
109 229 -1
109 242 -1
109 303 1
109 517 1
110 767 -1
111 335 -1
111 732 -1
112 162 -1
112 529 -1
112 581 -1
113 385 -1
113 428 1
113 564 1
113 677 -1
114 118 1
114 157 -1
114 349 1
114 479 -1
115 162 1
115 500 1
115 581 1
115 628 1
116 163 -1
116 325 1
116 622 1
117 245 -1
117 283 1
117 298 -1
117 668 -1
118 140 1
118 342 -1
118 525 -1
119 204 1
119 312 1
119 386 1
119 654 1
120 185 1
120 700 -1
120 706 1
121 346 -1
121 430 1
121 471 1
122 514 -1
122 658 1
122 675 1
123 156 -1
123 521 -1
124 361 1
124 440 1
124 773 -1
125 132 -1
125 550 -1
125 596 1
125 635 -1
126 203 1
126 221 1
126 475 -1
127 143 1
127 188 -1
127 432 -1
127 573 -1
128 172 -1
128 250 1
128 520 -1
128 751 -1
129 351 -1
129 408 1
129 542 1
129 684 -1
130 280 -1
130 449 -1
130 528 -1
130 724 -1
131 206 1
131 402 -1
131 771 -1
132 177 1
132 422 1
132 762 1
133 155 1
133 323 1
133 561 1
133 622 -1
134 305 1
134 369 -1
134 421 -1
134 593 -1
135 410 -1
135 617 -1
135 739 1
136 178 -1
136 298 1
136 668 1
136 675 1
137 349 1
137 350 1
137 368 1
137 479 1
138 267 1
138 277 1
138 560 -1
138 776 1
139 388 1
139 623 -1
140 150 1
140 349 1
140 618 -1
141 329 -1
141 497 1
141 780 1
142 167 -1
142 235 -1
142 614 -1
143 448 -1
143 719 -1
143 721 -1
144 456 1
144 562 -1
144 608 -1
144 609 1
145 514 -1
145 521 1
146 231 -1
146 535 -1
147 196 1
147 222 -1
147 702 1
147 788 1
148 494 1
148 661 -1
149 272 1
149 274 -1
149 646 1
149 694 1
150 342 1
150 456 -1
150 608 1
151 285 1
151 384 1
152 364 -1
152 515 1
152 598 -1
152 785 1
153 162 1
153 364 -1
153 529 1
153 598 1
154 196 1
154 266 1
154 371 1
154 788 -1
155 412 -1
155 546 1
155 629 -1
156 468 -1
156 621 -1
156 691 -1
157 356 1
157 525 -1
157 650 -1
158 183 -1
158 245 -1
158 407 1
158 668 -1
159 462 1
159 498 1
159 566 -1
160 261 1
160 533 1
160 653 1
160 674 1
161 230 1
161 521 -1
161 636 -1
162 348 1
163 214 1
163 629 1
163 643 1
164 175 -1
164 260 1
164 509 1
164 795 1
165 516 -1
166 305 1
166 336 -1
166 490 -1
166 593 -1
167 444 -1
167 508 -1
167 518 -1
168 225 -1
168 278 1
168 346 1
168 588 1
169 354 1
169 408 1
169 719 1
169 721 -1
170 391 1
170 458 -1
170 552 -1
170 693 -1
171 346 -1
171 357 -1
171 430 1
171 588 1
172 183 1
172 407 1
172 416 -1
173 398 1
173 406 -1
173 459 -1
173 511 -1
174 195 -1
174 530 1
174 716 1
174 745 -1
175 312 -1
175 654 1
176 243 -1
176 544 1
176 669 1
176 723 -1
177 374 1
