946 3240
1 81 100
1 204 -100
1 242 -100
1 676 -100
1 719 -100
1 923 -100
2 81 -44
2 141 -100
2 384 -100
2 407 -100
2 862 -100
2 884 -100
3 81 100
3 326 -100
3 331 -100
3 507 -100
3 705 -100
3 797 -100
4 81 -44
4 90 -100
4 543 -100
4 894 -100
4 927 -100
5 81 100
5 121 -100
5 255 -100
5 467 -100
5 682 -100
5 703 -100
6 81 -44
6 113 -100
6 336 -100
6 363 -100
6 535 -100
6 895 -100
7 24 -100
7 81 -44
7 452 -100
7 584 -100
7 698 -100
7 854 -100
8 29 -100
8 81 -44
8 229 -100
8 908 -100
8 924 -100
9 81 100
9 144 -100
9 311 -100
9 426 -100
9 618 -100
10 81 -44
10 314 -100
10 324 -100
10 531 -100
10 664 -100
10 672 -100
11 81 100
11 265 -100
11 360 -100
11 364 -100
11 516 -100
11 611 -100
12 81 100
12 121 -100
12 255 -100
12 467 -100
12 651 -100
12 703 -100
13 81 -44
13 130 -100
13 553 -100
13 686 -100
13 853 -100
14 81 -44
14 315 -100
14 355 -100
14 400 -100
14 700 -100
14 872 -100
15 81 -44
15 489 -100
15 494 -100
15 710 -100
15 837 -100
15 843 -100
16 81 -44
16 182 -100
16 488 -100
16 602 -100
16 626 -100
16 674 -100
17 49 -100
17 81 100
17 112 -100
17 282 -100
17 352 -100
17 463 -100
17 769 100
18 81 -44
18 232 -100
18 330 -100
18 693 -100
18 752 -100
19 81 100
19 120 -100
19 402 -100
19 699 -100
19 807 -100
19 813 100
19 825 -100
20 62 -100
20 81 100
20 491 -100
20 610 -100
20 679 -100
20 822 -100
21 81 100
21 194 -100
21 204 -100
21 242 -100
21 719 -100
21 923 -100
22 81 100
22 140 -100
22 215 -100
22 260 -100
22 322 100
22 644 -100
23 81 -44
23 522 -100
23 529 -100
23 591 -100
23 915 -100
23 945 -100
24 81 -44
24 366 -100
24 788 -100
24 792 -100
25 49 -100
25 81 100
25 112 -100
25 282 -100
25 352 -100
25 555 100
25 720 -100
26 81 -44
26 194 -100
26 451 -100
26 676 -100
27 61 -100
27 74 -100
27 81 -44
27 316 -100
27 339 -100
28 81 100
28 93 -100
28 325 -100
28 463 -100
28 720 -100
28 890 -100
29 81 -44
29 105 -100
29 212 -100
29 621 -100
29 773 -100
30 36 100
30 55 -100
30 81 100
30 389 -100
30 715 -100
30 761 -100
30 882 -100
31 81 -44
31 383 -100
31 534 -100
31 539 -100
31 765 -100
31 796 -100
32 81 -44
32 347 -100
32 649 -100
32 695 -100
32 842 -100
33 81 -44
33 175 -100
33 227 -100
33 454 -100
33 479 -100
34 81 100
34 133 -100
34 161 -100
34 206 -100
34 298 -100
34 571 -100
35 81 -44
35 113 -100
35 336 -100
35 363 -100
35 895 -100
35 939 -100
36 81 100
36 209 -100
36 214 -100
36 458 -100
36 684 -100
36 820 -100
37 79 -100
37 81 -44
37 261 -100
37 606 -100
37 875 -100
38 55 -100
38 81 100
38 389 -100
38 678 100
38 761 -100
38 882 -100
38 888 -100
39 66 -100
39 81 -44
39 115 -100
39 501 -100
40 43 -100
40 81 100
40 317 -100
40 417 -100
40 641 -100
40 695 -100
41 81 -44
41 97 -100
41 179 -100
41 688 -100
41 812 -100
42 81 -44
42 423 -100
42 604 -100
42 648 -100
42 907 -100
42 942 -100
43 81 100
43 117 -100
43 278 -100
43 456 -100
43 748 -100
43 790 -100
44 81 100
44 316 -100
44 357 -100
44 554 -100
44 685 -100
44 899 -100
45 81 -44
45 85 -100
45 207 -100
45 246 -100
45 708 -100
46 63 -100
46 81 -44
46 205 -100
46 273 -100
46 789 -100
46 901 -100
47 81 100
47 440 -100
47 694 -100
47 716 -100
47 803 -100
48 81 100
48 309 -100
48 320 -100
48 536 -100
48 570 -100
48 851 -100
48 876 -100
49 81 100
49 399 -100
49 422 -100
49 724 -100
49 725 -100
50 81 -44
50 295 -100
50 832 -100
50 871 -100
51 81 100
51 144 -100
51 311 -100
51 426 -100
51 883 -100
52 81 -44
52 184 -100
52 272 -100
52 385 -100
52 655 -100
52 733 -100
53 81 -44
53 135 -100
53 310 -100
53 622 -100
53 904 -100
54 81 -44
54 138 -100
54 216 -100
54 223 -100
54 251 -100
54 453 -100
55 81 100
55 365 -100
55 553 -100
55 600 -100
56 81 -44
56 552 -100
56 663 -100
56 768 -100
56 852 -100
57 69 -100
57 81 100
57 258 100
57 635 -100
57 650 -100
57 703 100
57 833 -100
58 81 100
58 158 -100
58 192 -100
58 259 -100
58 431 -100
58 896 100
58 909 -100
59 81 -44
59 313 -100
59 455 -100
59 662 -100
59 864 -100
60 81 -44
60 423 -100
60 604 -100
60 648 -100
60 657 -100
60 907 -100
61 81 -44
61 577 -100
61 598 -100
61 631 -100
61 740 -100
62 81 100
62 106 -100
62 230 -100
62 396 -100
62 807 -100
62 860 -100
63 81 -44
63 99 -100
63 406 -100
63 750 -100
64 81 -44
64 354 -100
64 466 -100
64 511 -100
64 574 -100
64 691 -100
65 81 -44
65 137 -100
65 143 -100
65 266 -100
65 717 -100
65 911 -100
66 81 -44
66 238 -100
66 305 -100
66 759 -100
67 81 -44
67 253 -100
67 721 -100
67 819 -100
67 857 -100
68 81 -44
68 520 -100
68 545 -100
68 687 -100
68 822 -100
69 81 100
69 126 -100
69 128 -100
69 267 -100
69 768 -100
70 81 -44
70 142 -100
70 210 -100
70 338 -100
70 941 -100
71 81 100
71 107 100
71 386 -100
71 526 -100
71 801 -100
71 922 -100
71 936 -100
72 81 100
72 220 100
72 416 -100
72 647 -100
72 720 100
72 799 -100
72 885 -100
73 81 100
73 331 -100
73 507 -100
73 705 -100
73 797 -100
73 817 -100
74 81 -44
74 119 -100
74 598 -100
74 631 -100
74 740 -100
75 81 100
75 381 -100
75 516 -100
75 694 100
75 865 -100
76 81 100
76 193 100
76 202 -100
76 344 -100
76 442 -100
76 465 -100
76 530 -100
77 81 -44
77 254 -100
77 527 -100
77 575 -100
77 820 -100
78 81 100
78 164 -100
78 237 -100
78 274 -100
78 289 -100
78 392 -100
78 727 -100
79 81 -44
79 228 -100
79 476 -100
79 485 -100
79 859 -100
80 81 100
80 440 -100
80 629 -100
80 694 -100
80 803 -100
81 82 100
81 83 -44
81 84 100
81 85 -44
81 86 -44
81 87 -44
81 88 100
81 89 100
81 90 -44
81 91 -44
81 92 -44
81 93 -44
81 94 -44
81 95 100
81 96 -44
81 97 -44
81 98 100
81 99 -44
81 100 -44
81 101 100
81 102 100
81 103 100
81 104 -44
81 105 -44
81 106 100
81 107 100
81 108 -44
81 109 100
81 110 100
81 111 100
81 112 100
81 113 -44
81 114 100
81 115 -44
81 116 100
81 117 100
81 118 100
81 119 100
81 120 100
81 121 100
81 122 -44
81 123 100
81 124 -44
81 125 100
81 126 100
81 127 -44
81 128 100
81 129 -44
81 130 -44
81 131 -44
81 132 100
81 133 100
81 134 -44
81 135 -44
81 136 -44
81 137 -44
81 138 100
81 139 100
81 140 100
81 141 -44
81 142 -44
81 143 -44
81 144 100
81 145 100
81 146 100
81 147 -44
81 148 100
81 149 100
81 150 -44
81 151 -44
81 152 -44
81 153 100
81 154 -44
81 155 -44
81 156 100
81 157 100
81 158 100
81 159 100
81 160 -44
81 161 -44
81 162 100
81 163 -44
81 164 100
81 165 100
81 166 100
81 167 -44
81 168 -44
81 169 100
81 170 100
81 171 100
81 172 -44
81 173 100
81 174 100
81 175 -44
81 176 100
81 177 -44
81 178 100
81 179 -44
81 180 100
81 181 -44
81 182 100
81 183 -44
81 184 -44
81 185 100
81 186 -44
81 187 -44
81 188 -44
81 189 -44
81 190 100
81 191 -44
81 192 100
81 193 100
81 194 -44
81 195 100
81 196 100
81 197 100
81 198 -44
81 199 -44
81 200 -44
81 201 100
81 202 100
81 203 -44
81 204 100
81 205 -44
81 206 100
81 207 -44
81 208 100
81 209 100
81 210 -44
81 211 -44
81 212 -44
81 213 -44
81 214 100
81 215 100
81 216 -44
81 217 100
81 218 -44
81 219 -44
81 220 100
81 221 100
81 222 -44
81 223 -44
81 224 -44
81 225 -44
81 226 -44
81 227 -44
81 228 -44
81 229 -44
81 230 100
81 231 100
81 232 -44
81 233 100
81 234 -44
81 235 100
81 236 100
81 237 100
81 238 -44
81 239 100
81 240 100
81 241 100
81 242 100
81 243 -44
81 244 100
81 245 -44
81 246 -44
81 247 -44
81 248 -44
81 249 100
81 250 100
81 251 -44
