2000 11778
1 231 1
1 717 1
1 718 1
1 1384 1
1 1420 1
1 1588 1
1 1915 1
2 12 1
2 231 1
2 404 1
2 1085 1
2 1598 1
2 1986 1
3 793 1
3 823 1
3 883 1
3 1014 1
3 1309 1
3 1413 1
3 1714 1
3 1992 1
4 964 1
4 1071 1
4 1208 1
4 1359 1
4 1821 1
4 1912 1
5 207 1
5 216 1
5 221 1
5 390 1
5 1609 1
5 1883 1
6 194 1
6 231 1
6 417 1
6 957 1
6 1438 1
6 1809 1
7 335 1
7 654 1
7 947 1
7 983 1
7 1165 1
7 1251 1
7 1277 1
7 1691 1
7 1735 1
8 310 1
8 438 1
8 632 1
8 807 1
8 848 1
8 1118 1
8 1989 1
9 709 1
9 729 1
9 789 1
9 1014 1
9 1303 1
9 1358 1
9 1617 1
9 1709 1
9 1784 1
9 1786 1
9 1986 1
10 586 1
10 616 1
10 673 1
10 882 1
10 1031 1
10 1638 1
11 263 1
11 848 1
11 1451 1
11 1465 1
11 1615 1
11 1714 1
12 44 1
12 66 1
12 103 1
12 112 1
12 113 1
12 184 1
12 203 1
12 215 1
12 226 1
12 239 1
12 285 1
12 294 1
12 300 1
12 306 1
12 321 1
12 350 1
12 356 1
12 363 1
12 381 1
12 395 1
12 400 1
12 402 1
12 424 1
12 475 1
12 486 1
12 544 1
12 545 1
12 546 1
12 609 1
12 644 1
12 685 1
12 689 1
12 734 1
12 738 1
12 741 1
12 772 1
12 775 1
12 793 1
12 869 1
12 876 1
12 891 1
12 898 1
12 902 1
12 916 1
12 919 1
12 927 1
12 951 1
12 979 1
12 1010 1
12 1060 1
12 1085 1
12 1105 1
12 1115 1
12 1136 1
12 1196 1
12 1200 1
12 1259 1
12 1269 1
12 1352 1
12 1356 1
12 1365 1
12 1389 1
12 1415 1
12 1452 1
12 1478 1
12 1514 1
12 1573 1
12 1578 1
12 1586 1
12 1598 1
12 1671 1
12 1688 1
12 1708 1
12 1715 1
12 1729 1
12 1730 1
12 1742 1
12 1746 1
12 1765 1
12 1770 1
12 1795 1
12 1816 1
12 1860 1
12 1888 1
12 1898 1
12 1913 1
12 1933 1
12 1941 1
12 1957 1
12 2000 1
13 370 1
13 593 1
13 680 1
13 719 1
13 837 1
13 1021 1
13 1186 1
13 1438 1
13 1690 1
14 167 1
14 344 1
14 543 1
14 655 1
14 982 1
14 1069 1
14 1503 1
14 1821 1
14 1927 1
14 1956 1
14 1984 1
15 208 1
15 276 1
15 345 1
15 409 1
15 738 1
15 1321 1
15 1384 1
15 1596 1
16 122 1
16 717 1
16 755 1
16 943 1
16 1113 1
16 1126 1
16 1211 1
16 1462 1
16 1486 1
16 1554 1
16 1846 1
16 1915 1
16 1976 1
17 84 1
17 431 1
17 557 1
17 723 1
17 895 1
17 1220 1
17 1484 1
18 97 1
18 748 1
18 804 1
18 912 1
18 970 1
18 1168 1
18 1274 1
18 1278 1
18 1360 1
18 1705 1
18 1884 1
18 1898 1
19 241 1
19 345 1
19 988 1
19 1046 1
19 1697 1
19 1922 1
19 1972 1
20 848 1
20 872 1
20 1047 1
20 1326 1
20 1462 1
20 1684 1
21 31 1
21 397 1
21 723 1
21 1403 1
21 1525 1
21 1928 1
22 287 1
22 410 1
22 571 1
22 907 1
22 1202 1
22 1211 1
22 1557 1
22 1661 1
22 1753 1
23 374 1
23 452 1
23 464 1
23 598 1
23 616 1
23 788 1
23 1136 1
23 1619 1
23 1986 1
23 1993 1
24 122 1
24 169 1
24 231 1
24 256 1
24 296 1
24 355 1
24 742 1
24 1013 1
24 1379 1
24 1742 1
24 1882 1
24 1938 1
25 229 1
25 231 1
25 246 1
25 311 1
25 357 1
25 413 1
25 494 1
25 655 1
25 804 1
25 981 1
25 1081 1
25 1278 1
25 1303 1
25 1379 1
25 1568 1
25 1578 1
25 1608 1
25 1655 1
25 1658 1
25 1700 1
25 1709 1
25 1753 1
25 1756 1
25 1786 1
25 1824 1
25 1982 1
26 100 1
26 186 1
26 222 1
26 300 1
26 611 1
26 848 1
26 941 1
26 997 1
26 1136 1
26 1260 1
26 1490 1
26 1526 1
26 1537 1
26 1598 1
27 31 1
27 438 1
27 703 1
27 759 1
27 1440 1
27 1827 1
27 1902 1
28 122 1
28 150 1
28 806 1
28 1172 1
