3000 23544
1 930 -10
1 1068 -10
1 1453 10
1 2043 -10
1 2757 10
2 294 1
2 1260 -1
2 1920 -1
2 2314 -1
2 2504 1
2 2514 -1
2 2522 -1
2 2657 -1
2 2819 1
2 2878 1
3 603 1
3 1325 1
3 1605 -1
3 1705 -1
3 2729 -1
3 2984 -1
4 107 -10
4 138 1
4 159 -1
4 177 -10
4 395 -1
4 425 -10
4 454 1
4 544 1
4 753 10
4 895 -1
4 972 -1
4 993 1
4 1166 1
4 1230 -1
4 1314 1
4 1396 -1
4 1472 1
4 1498 1
4 1537 -1
4 1615 1
4 1646 1
4 1661 10
4 1726 1
4 1746 -10
4 1815 -1
4 1848 10
4 1915 -1
4 2045 -10
4 2082 -1
4 2124 -1
4 2288 1
4 2407 1
4 2491 1
4 2521 -1
4 2739 -1
4 2748 1
4 2787 -1
4 2894 1
4 2942 -1
4 2983 -1
5 30 -1
5 165 -1
5 173 -1
5 343 -1
5 365 -1
5 528 -10
5 593 1
5 612 -1
5 623 1
5 723 -1
5 739 10
5 901 -10
5 972 1
5 1017 -1
5 1075 1
5 1219 -1
5 1224 10
5 1283 -1
5 1412 -1
5 1418 1
5 1453 -1
5 1483 1
5 1489 1
5 1538 1
5 1542 -1
5 1646 1
5 1703 1
5 1796 -1
5 1838 1
5 1866 -1
5 1958 1
5 1966 1
5 2066 -1
5 2071 1
5 2107 -1
5 2267 1
5 2375 1
5 2444 -1
5 2514 1
5 2564 -10
5 2652 -1
5 2698 -1
5 2730 -1
5 2861 1
5 2863 1
5 2956 -10
5 2963 -1
6 444 10
6 688 10
6 1033 10
6 1170 -10
6 1341 10
6 1752 10
7 48 10
7 91 -10
7 993 10
7 1464 -10
7 2109 10
7 2450 -10
7 2598 -10
8 565 1
8 644 -1
8 1056 1
8 1067 1
8 1143 1
8 2002 1
8 2066 1
9 459 -1
9 481 1
9 819 1
9 1458 -1
9 1522 1
9 1550 -1
9 1553 1
10 243 -1
10 304 -1
10 433 1
10 780 1
10 1475 1
10 1954 -1
11 1553 1
11 1726 1
11 1750 -1
11 1796 -1
11 1811 1
11 2189 -1
12 159 -1
12 475 -1
12 501 1
12 528 10
12 553 1
12 563 -1
12 569 -10
12 817 -10
12 907 10
12 1184 -1
12 1329 1
12 1667 10
12 1735 -10
12 2055 -1
12 2168 -1
12 2341 10
12 2481 -10
12 2534 -1
12 2576 -1
12 2738 1
12 2761 -1
12 2807 -1
13 1344 1
13 1497 -1
13 1754 1
13 1960 1
13 2018 -1
13 2632 1
13 2860 -1
14 159 -1
14 489 1
14 554 1
14 799 1
14 1236 -1
14 1370 1
14 1649 -1
14 1892 1
14 1967 -1
14 2296 -1
14 2474 -1
14 2724 1
15 386 -10
15 432 10
15 1685 -10
15 2376 10
15 2810 -10
15 2824 10
15 2923 -10
16 196 10
16 519 10
16 980 -10
16 1007 -10
16 1033 10
16 1687 10
16 1730 10
16 1893 -10
16 2263 10
16 2543 -10
16 2634 10
16 2795 10
17 122 -1
17 139 1
17 171 10
17 174 -10
17 254 1
17 818 -1
17 832 -1
17 998 -1
17 1020 1
17 1033 10
17 1114 1
17 1161 -1
17 1274 10
17 1514 1
17 1592 -1
17 1797 1
17 1815 -1
17 2049 -10
17 2507 1
17 2669 -1
17 2693 1
17 2804 -10
17 2944 -10
18 90 -1
18 211 1
18 432 -10
18 510 10
18 538 -10
18 727 1
18 740 1
18 741 10
18 836 1
18 904 1
18 1089 1
18 1120 -1
18 1189 -1
18 1203 1
18 1344 -1
18 1400 1
18 1409 1
18 1521 -1
18 1572 -1
18 1600 1
18 1660 1
18 1694 -1
18 1751 1
18 1963 -1
18 1999 -1
18 2103 -1
18 2220 1
18 2239 -1
18 2267 -10
18 2391 10
18 2416 1
18 2585 10
18 2751 -1
18 2903 -1
18 2930 1
19 333 1
19 575 -1
19 947 1
19 1785 1
19 1915 1
19 2058 1
19 2360 1
19 2591 -1
20 182 10
20 245 -10
20 319 10
20 661 10
20 1132 1
20 1403 -10
20 1476 -1
20 1510 1
20 2191 -1
20 2557 1
20 2594 1
20 2644 10
20 2671 -1
20 2909 10
21 426 -10
21 469 10
21 1074 10
21 1398 10
21 2061 -10
21 2112 -10
21 2651 10
21 2987 -10
22 256 -10
22 484 10
22 585 10
22 960 -1
22 972 -1
22 1472 10
22 1691 -1
22 1804 1
22 1929 -10
22 2371 -1
22 2375 1
22 2652 -1
22 2989 -10
23 130 -1
23 175 1
23 458 -1
23 766 1
23 1151 1
23 2443 -1
23 2525 -1
24 184 -10
24 187 1
24 610 -10
24 763 -10
24 1026 -10
24 1318 10
24 1342 10
24 1391 -10
24 1440 1
24 1510 -1
24 1648 10
24 1665 -1
24 1749 -10
24 1996 -10
24 2225 -1
24 2382 1
24 2398 10
24 2472 -10
24 2698 10
25 44 1
25 1041 -1
25 1055 -1
25 1951 -1
25 2223 -1
25 2307 -1
25 2474 -1
26 802 1
26 1737 1
26 1788 -1
26 1835 -1
26 1944 -1
26 2067 1
27 60 1
27 169 -1
27 1822 1
27 2495 1
27 2754 -1
27 2899 -1
28 243 -1
28 1762 -1
28 2011 -1
28 2126 -1
28 2333 1
28 2520 1
28 2739 1
28 2777 1
28 2943 1
