1600 10133
1 206 1
1 273 1
1 288 1
1 589 1
1 632 1
1 640 1
1 724 1
1 809 -1
1 1031 1
1 1059 1
1 1496 1
2 80 1
2 126 1
2 200 1
2 744 1
2 943 1
2 965 1
2 990 1
2 1001 1
2 1133 1
2 1198 -1
2 1274 1
3 63 1
3 383 1
3 886 -1
3 906 1
3 1020 1
3 1507 1
3 1554 1
4 84 1
4 175 1
4 489 1
4 811 1
4 832 -1
4 899 1
4 1019 1
4 1253 1
5 55 1
5 602 1
5 633 1
5 836 1
5 1034 1
5 1368 1
5 1377 1
6 147 1
6 150 -1
6 151 1
6 210 1
6 230 1
6 285 1
6 334 1
6 394 1
6 407 1
6 448 1
6 508 1
6 569 1
6 625 1
6 692 1
6 697 1
6 711 1
6 751 1
6 761 1
6 769 1
6 798 1
6 831 1
6 847 1
6 865 1
6 892 1
6 971 1
6 1117 1
6 1123 1
6 1162 1
6 1264 1
6 1313 1
6 1324 1
6 1398 1
6 1529 1
7 376 1
7 403 -1
7 605 1
7 622 1
7 1004 1
7 1139 1
7 1217 1
7 1461 1
7 1537 1
8 183 -1
8 230 1
8 322 1
8 386 1
8 451 1
8 569 1
8 607 1
8 630 1
8 829 1
8 905 1
8 934 1
8 1333 1
8 1391 1
8 1453 1
9 103 1
9 179 1
9 185 1
9 192 1
9 338 1
9 439 1
9 440 1
9 489 1
9 539 1
9 574 1
9 596 1
9 796 1
9 805 1
9 918 1
9 923 1
9 931 1
9 1078 1
9 1079 1
9 1169 1
9 1349 1
9 1354 1
9 1360 1
9 1521 1
9 1556 1
10 417 1
10 623 1
10 725 1
10 926 1
10 1183 1
10 1221 1
10 1365 1
10 1575 1
11 373 1
11 394 1
11 491 1
11 872 1
11 975 1
11 1083 1
11 1085 1
11 1135 1
11 1283 1
11 1320 -1
12 39 1
12 212 1
12 522 1
12 629 1
12 807 -1
12 874 1
12 1450 1
13 80 1
13 239 1
13 319 1
13 398 -1
13 456 1
13 586 1
13 700 1
13 803 1
13 847 1
13 1111 1
13 1135 1
13 1248 1
13 1258 1
13 1315 1
13 1547 1
13 1573 1
14 160 1
14 193 1
14 221 1
14 229 1
14 534 1
14 644 1
14 886 1
14 970 1
14 1024 1
14 1152 1
14 1202 1
14 1321 1
14 1338 1
14 1405 1
14 1512 1
15 226 1
15 385 1
15 467 1
15 574 1
15 738 1
15 970 1
15 1251 1
15 1363 1
16 507 1
16 602 1
16 610 1
16 713 1
16 1051 1
16 1255 1
16 1276 1
16 1572 1
17 211 1
17 307 1
17 312 1
17 866 1
17 917 1
17 1166 1
17 1170 1
17 1340 1
17 1383 1
18 557 1
18 851 1
18 914 1
18 1126 1
18 1258 1
18 1292 1
18 1531 1
18 1572 1
19 180 1
19 184 1
19 484 1
19 762 1
19 938 1
19 1166 1
19 1377 1
20 25 1
20 100 1
20 623 1
20 703 -1
20 821 1
20 1316 1
20 1400 1
20 1563 1
20 1584 1
21 86 1
21 157 1
21 204 1
21 237 1
21 260 1
21 268 1
21 286 1
21 292 1
21 425 1
21 428 1
21 451 1
21 480 1
21 487 1
21 540 1
21 574 1
21 606 1
21 669 1
21 773 1
21 800 1
21 891 1
21 1067 1
21 1093 1
21 1116 1
21 1127 1
21 1142 1
21 1157 1
21 1174 1
21 1221 1
21 1236 1
21 1292 1
21 1567 1
22 574 1
22 753 1
22 903 1
22 1185 1
22 1211 1
22 1253 1
22 1281 1
23 86 -1
23 329 1
23 426 1
23 458 1
23 609 1
23 754 1
23 875 1
23 969 1
23 972 1
23 1112 1
23 1134 1
23 1152 1
23 1255 1
23 1347 1
24 145 1
24 176 1
24 220 1
24 299 1
24 517 1
24 670 1
24 1252 1
24 1432 1
24 1482 1
25 107 1
25 194 1
25 197 1
25 284 1
25 375 1
25 423 1
25 543 1
25 615 1
25 623 1
25 678 1
25 961 1
25 970 1
25 1002 1
25 1173 1
25 1222 -1
25 1316 1
25 1317 1
25 1575 1
26 102 1
26 336 -1
26 425 1
26 800 1
26 867 1
26 1123 1
26 1161 1
27 32 1
27 236 1
27 389 1
27 929 1
27 1307 1
27 1515 1
27 1569 1
28 159 1
28 394 1
28 845 1
28 882 1
28 984 1
28 1116 1
28 1572 1
29 315 1
29 379 1
29 493 1
29 643 1
29 664 1
29 757 1
29 1014 1
29 1031 1
29 1071 1
29 1110 1
29 1173 1
29 1291 1
29 1342 1
29 1532 1
30 467 1
30 685 1
30 972 1
30 996 1
30 1006 1
30 1076 -1
30 1149 1
30 1278 1
31 39 1
31 167 1
31 248 1
31 349 1
31 470 1
31 556 1
31 675 1
31 894 1
31 969 1
31 1017 1
31 1246 1
31 1310 1
31 1341 1
31 1551 1
32 87 1
32 150 1
32 236 1
32 294 1
32 805 1
32 929 1
32 980 1
32 995 1
32 1036 -1
32 1183 1
32 1294 1
32 1319 1
32 1420 1
33 292 1
33 438 1
33 508 1
33 660 1
33 875 -1
33 1264 1
33 1302 1
34 168 1
34 524 1
34 539 1
34 554 -1
34 863 1
34 915 1
34 1016 1
34 1025 1
34 1129 1
34 1495 1
35 87 1
35 146 1
35 168 1
35 191 1
35 209 1
35 443 1
35 463 1
35 750 1
35 796 1
35 802 1
35 820 1
35 863 1
35 902 1
35 1033 1
35 1320 1
35 1468 1
35 1495 1
35 1575 1
36 163 1
36 503 1
36 508 1
36 560 1
36 566 1
36 617 1
36 1055 1
36 1201 1
36 1447 1
36 1540 1
36 1567 1
37 156 1
37 278 1
37 489 1
37 691 1
37 969 1
37 1129 1
37 1198 1
37 1213 -1
37 1490 1
37 1537 1
38 231 1
38 372 1
38 550 1
38 608 1
38 761 1
38 881 1
38 1333 1
38 1451 1
38 1572 1
39 73 1
39 168 1
39 212 1
39 251 1
39 290 1
39 389 1
39 457 1
39 470 1
39 474 1
39 488 1
39 522 1
39 533 1
39 574 1
39 628 1
39 629 1
39 680 1
39 725 1
39 727 1
39 797 1
39 821 1
39 874 1
39 894 1
39 898 1
39 941 1
39 946 1
39 963 1
39 969 1
39 970 1
39 1017 1
39 1028 1
39 1042 1
39 1073 1
39 1078 1
39 1125 1
39 1141 1
39 1240 1
39 1261 1
39 1262 1
39 1287 1
39 1307 1
39 1310 1
39 1348 -1
39 1374 1
39 1422 1
39 1449 1
39 1450 1
39 1512 1
39 1536 1
39 1555 1
39 1582 1
39 1596 1
39 1597 1
40 106 1
40 149 1
40 292 1
40 331 1
40 356 -1
40 400 1
40 542 1
40 602 1
40 935 1
40 1116 1
40 1590 1
41 88 1
41 190 1
41 243 1
41 283 1
41 291 1
41 397 1
41 427 1
41 603 1
41 607 1
41 630 1
41 791 1
41 809 1
41 816 1
41 818 1
41 853 1
41 867 1
41 876 1
41 895 1
41 934 1
41 1026 1
41 1038 1
41 1084 1
41 1163 1
41 1247 1
41 1334 1
41 1467 1
41 1597 -1
42 547 1
42 611 1
42 768 1
42 816 -1
42 919 1
42 1132 1
42 1473 1
43 83 1
43 131 1
43 540 1
43 662 1
43 774 1
43 1288 1
43 1298 1
43 1355 1
44 142 1
44 157 1
44 602 1
44 744 1
44 920 1
44 1057 1
44 1104 1
44 1207 1
44 1222 1
44 1358 1
44 1544 1
45 290 1
45 822 1
45 969 1
45 1154 1
45 1262 1
45 1493 1
46 292 1
46 433 1
46 938 1
46 1215 1
46 1228 1
46 1472 -1
46 1540 1
47 351 1
47 489 1
47 512 -1
47 623 1
47 928 1
47 958 1
47 1017 1
48 324 1
48 466 1
48 575 1
48 762 1
48 782 1
48 1247 1
48 1264 1
48 1324 1
48 1540 1
48 1578 1
49 57 1
49 281 1
49 321 1
49 390 1
49 412 1
49 574 1
49 933 1
49 969 1
49 1253 1
49 1432 1
49 1448 -1
50 115 1
50 151 1
50 396 1
50 559 1
50 816 1
50 1019 -1
50 1483 1
51 228 1
51 286 -1
51 426 1
51 496 1
51 563 1
51 638 1
51 964 1
51 970 1
51 1218 1
52 155 1
52 247 1
52 312 1
52 314 1
52 367 1
52 420 1
52 449 1
52 658 1
52 917 1
52 998 1
52 1010 1
52 1043 1
52 1085 1
52 1166 1
52 1289 1
52 1444 1
52 1452 1
52 1557 1
52 1570 1
53 188 1
53 791 1
53 934 1
53 1144 1
53 1289 1
53 1411 1
53 1467 1
53 1554 1
54 348 1
54 467 1
54 470 1
54 548 1
54 898 1
54 1040 1
54 1262 1
54 1309 1
54 1344 1
55 218 1
55 435 1
55 454 1
55 638 -1
55 697 1
55 836 1
55 1034 1
55 1046 1
55 1076 1
55 1111 1
55 1416 1
56 97 1
56 100 1
56 196 1
56 302 1
56 333 1
56 381 1
56 436 1
56 440 1
56 753 1
56 788 1
56 821 1
56 903 1
56 940 1
56 1018 1
56 1071 1
56 1182 1
56 1185 1
56 1197 1
56 1253 1
56 1277 1
56 1290 1
56 1304 1
56 1323 1
56 1378 1
56 1400 1
56 1432 1
56 1460 1
56 1461 1
56 1480 1
56 1507 -1
56 1552 1
56 1555 1
57 321 1
57 492 -1
57 634 1
57 833 1
57 1253 1
57 1320 1
58 129 1
58 210 1
58 251 1
58 369 1
58 1071 1
58 1185 1
58 1378 1
58 1480 1
58 1496 1
58 1552 1
59 135 1
59 181 -1
59 399 1
59 410 1
59 418 1
59 458 1
59 722 1
59 1217 1
59 1253 1
59 1320 1
60 84 1
60 162 1
60 225 1
60 514 1
60 943 1
60 1305 1
60 1432 1
61 74 1
61 94 1
61 224 1
61 262 1
61 648 1
61 841 1
61 892 1
61 1211 1
61 1247 1
61 1268 1
61 1269 1
61 1333 1
61 1414 1
62 132 1
62 139 1
62 337 1
62 534 1
62 544 1
62 596 1
62 862 1
62 1177 1
62 1227 1
62 1262 1
63 134 1
63 138 -1
63 292 1
63 323 1
63 400 1
63 441 1
63 553 1
63 581 1
63 602 1
63 613 1
63 684 1
63 845 1
63 965 1
63 1080 1
