3000 7999
1 140 1
1 524 1
1 967 -1
1 1049 1
1 1385 -1
1 1794 1
1 2450 1
1 2847 -1
2 86 -1
2 401 -1
2 1143 -1
2 1982 -1
2 2254 1
2 2303 1
2 2456 -1
2 2823 1
3 263 -1
3 1663 -1
3 1883 1
3 2316 1
4 482 -1
4 615 -1
4 742 -1
4 1878 -1
5 100 -1
5 1085 1
5 2170 -1
5 2790 -1
6 774 1
6 1551 1
6 1855 -1
6 2131 -1
6 2155 -1
6 2518 -1
6 2588 -1
6 2729 -1
7 72 1
7 544 -1
7 1135 1
7 2091 1
8 200 -1
8 811 1
8 1701 -1
8 2692 1
9 14 1
9 1595 1
9 1967 -1
9 2351 -1
10 1177 -1
10 2058 -1
10 2163 -1
10 2967 -1
11 1494 1
11 2071 -1
11 2257 1
11 2598 1
12 679 1
12 835 -1
12 952 1
12 988 -1
12 1115 -1
12 1198 -1
12 2109 1
12 2388 1
13 1977 1
13 2512 -1
13 2658 1
13 2732 1
14 70 -1
14 161 -1
14 241 1
14 817 1
14 1206 1
14 1401 -1
14 1696 1
15 364 1
15 869 -1
15 1168 -1
15 2320 -1
16 1116 -1
16 1831 1
16 2052 -1
16 2718 -1
17 190 -1
17 688 -1
17 1094 1
17 2701 1
18 353 1
18 845 -1
18 889 1
18 2006 -1
19 50 -1
19 291 1
19 925 1
19 1016 -1
19 1201 -1
19 1279 -1
19 2085 -1
19 2924 -1
20 1016 -1
20 1279 -1
20 1573 1
20 2561 1
21 402 -1
21 664 1
21 938 1
21 1172 1
21 1750 1
21 1819 1
21 2079 -1
21 2801 -1
22 859 -1
22 1112 1
22 1381 -1
22 1917 -1
22 2389 1
22 2620 -1
22 2770 1
22 2785 -1
23 214 1
23 241 1
23 401 -1
23 431 1
23 992 -1
23 1724 1
23 2350 -1
23 2763 -1
24 399 -1
24 477 1
24 578 -1
24 1494 1
25 190 -1
25 216 1
25 2334 1
25 2701 1
26 302 1
26 393 -1
26 1099 -1
26 2710 1
27 527 -1
27 1071 1
27 2562 1
27 2770 -1
28 545 -1
28 633 1
28 1832 1
28 2123 -1
29 1831 -1
29 2258 1
29 2718 1
29 2781 1
30 1351 1
30 1495 1
30 2027 -1
30 2985 1
31 276 1
31 857 -1
31 1029 1
31 2352 1
32 251 1
32 436 1
32 1157 1
32 1963 -1
32 2204 -1
32 2414 1
32 2468 1
32 2634 -1
33 272 1
33 1346 1
33 2446 -1
33 2488 -1
34 38 -1
34 999 -1
34 2194 1
34 2456 1
35 460 -1
35 803 1
35 2727 -1
35 2899 -1
36 1151 -1
36 1187 1
36 1427 1
36 2475 1
37 414 -1
37 761 1
37 2575 -1
37 2648 1
38 184 1
38 528 1
38 727 1
38 1709 -1
38 1954 1
38 2123 -1
38 2950 1
39 280 -1
39 954 1
39 991 1
39 1269 -1
40 333 -1
40 593 1
40 982 -1
40 1490 1
40 1545 1
40 1704 -1
40 1834 -1
40 1954 -1
41 833 -1
41 1712 1
41 2721 -1
41 2772 1
42 1135 -1
42 1365 -1
42 1544 -1
42 2015 1
43 198 1
43 1114 -1
43 1300 1
43 1319 1
44 71 1
44 1886 -1
44 2143 1
44 2726 1
45 48 1
45 113 1
45 472 1
45 715 1
45 775 1
45 1185 -1
45 2407 -1
45 2880 1
46 116 1
46 587 -1
46 681 -1
46 909 1
46 1697 1
46 1937 -1
46 2493 -1
46 2694 1
47 90 1
47 1231 1
47 1277 1
47 2934 -1
48 76 -1
48 393 -1
48 1001 1
48 2054 1
48 2799 1
48 2868 1
48 2915 1
49 882 -1
49 1237 1
49 1748 1
49 2548 -1
50 98 -1
50 497 1
50 965 1
50 1374 -1
50 1581 1
50 2075 1
50 2250 1
51 196 1
51 1265 1
51 1839 1
51 1924 1
52 450 -1
52 1521 1
52 1951 1
52 2464 -1
53 344 1
53 593 -1
53 772 1
53 867 1
53 1380 -1
53 2446 1
53 2625 1
53 2690 1
54 723 1
54 1039 1
54 1065 -1
54 1134 1
55 496 1
55 904 -1
55 2112 1
55 2844 -1
56 900 1
56 1115 -1
56 1453 -1
56 1456 -1
56 2225 -1
56 2375 1
56 2620 -1
56 2957 1
57 673 -1
57 1213 1
57 1379 -1
57 2806 -1
58 471 -1
58 1087 -1
58 2408 -1
58 2622 1
59 371 1
59 414 1
59 767 -1
59 2911 -1
60 723 -1
60 1190 -1
60 1356 -1
60 1463 1
60 1781 -1
60 2109 -1
60 2782 -1
60 2897 -1
61 911 -1
61 1741 1
61 2103 -1
61 2988 1
62 210 -1
62 581 -1
62 599 1
62 843 1
62 901 -1
62 1106 1
62 1122 1
62 1942 -1
63 98 1
63 965 -1
63 1889 -1
63 2744 -1
64 1038 -1
64 1186 1
64 1483 -1
64 1882 1
65 98 1
65 320 -1
65 804 1
65 913 1
65 1274 1
65 2113 1
65 2247 1
65 2381 1
66 160 1
66 207 -1
