3000 5997
1 1618 -47
1 3000 1
2 2667 35
2 3000 1
3 147 -1
3 2500 -68
3 3000 1
4 1001 92
4 3000 1
5 2747 73
5 3000 1
6 1080 92
6 3000 1
7 222 86
7 2105 28
7 3000 1
8 380 20
8 2306 43
8 2559 64
8 3000 1
9 2009 -71
9 2740 -45
9 3000 1
10 735 -73
10 2548 41
10 3000 1
11 813 -11
11 1877 54
11 1943 72
11 3000 1
12 1862 2
12 2722 -62
12 3000 1
13 1373 -96
13 3000 1
14 1989 96
14 3000 1
15 268 -21
15 1715 -56
15 3000 1
16 294 -98
16 1774 -45
16 3000 1
17 2430 -23
17 3000 1
18 779 46
18 3000 1
19 240 -83
19 1526 -52
19 1854 -34
19 3000 1
20 2761 -26
20 3000 1
21 1242 -88
21 3000 1
22 226 99
22 3000 1
23 665 77
23 3000 1
24 2253 -14
24 2848 13
24 3000 1
25 149 76
25 2732 -37
25 3000 1
26 845 -9
26 1192 61
26 1796 93
26 3000 1
27 1404 98
27 2508 50
27 3000 1
28 686 -40
28 1012 -11
28 1709 47
28 3000 1
29 2115 -82
29 3000 1
30 968 3
30 3000 1
31 978 -36
31 1228 8
31 3000 1
32 42 -64
32 278 62
32 362 -73
32 470 77
32 3000 1
33 1921 -67
33 2262 58
33 2364 22
33 3000 1
34 682 40
34 1250 38
34 2669 87
34 3000 1
35 2531 32
35 3000 1
36 509 55
36 1026 66
36 3000 1
37 984 -68
37 1776 -40
37 2561 93
37 3000 1
38 363 -67
38 772 70
38 2573 -69
38 3000 1
39 1168 67
39 3000 1
40 651 94
40 1957 -93
40 2002 45
40 2369 20
40 3000 1
41 683 -92
41 1338 28
41 3000 1
42 3000 1
43 939 -74
43 1081 96
43 1223 -55
43 1281 96
43 3000 1
44 2934 -6
44 3000 1
45 202 67
45 1495 75
45 3000 1
46 1357 29
46 3000 1
47 56 29
47 949 -55
47 3000 1
48 1810 -8
48 3000 1
49 1754 82
49 3000 1
50 983 39
50 2081 -71
50 3000 1
51 612 86
51 3000 1
52 1823 -78
52 3000 1
53 344 -55
53 1714 -96
53 2078 57
53 2253 47
53 3000 1
54 1773 -81
54 2589 54
54 3000 1
55 993 78
55 3000 1
56 1568 53
56 3000 1
57 350 53
57 769 45
57 816 -86
57 1578 -19
57 3000 1
58 272 37
58 3000 1
59 608 64
59 3000 1
60 2064 -33
60 3000 1
61 386 -23
61 3000 1
62 1041 12
62 1818 46
62 2537 83
62 3000 1
63 1025 -26
63 2656 39
63 3000 1
64 1215 98
64 3000 1
65 407 34
65 2574 67
65 3000 1
66 227 10
66 260 -18
66 1020 -43
66 3000 1
67 1844 21
67 3000 1
68 1772 -92
68 2043 -34
68 3000 1
69 678 6
69 3000 1
70 1424 73
70 1554 17
70 1704 -50
70 2258 -1
70 3000 1
71 2069 100
71 3000 1
72 905 -85
72 3000 1
73 1988 -81
73 3000 1
74 187 6
74 3000 1
75 2243 -19
75 3000 1
76 2275 -53
