3000 7994
1 1598 -33
1 1736 1
1 2123 -93
1 2129 -83
2 304 1
2 573 -83
2 1177 -80
2 1736 1
2 2139 56
2 2608 59
3 1736 1
3 2488 -57
4 304 1
4 800 34
5 304 1
5 1402 -70
6 304 1
6 1607 59
6 1736 1
6 2042 56
6 2924 52
7 304 1
7 767 -35
7 1055 -83
7 1736 1
7 2631 100
7 2828 -58
8 1626 -89
8 1736 1
9 1156 21
9 1736 1
9 2634 -24
9 2994 -40
10 304 1
10 1330 -52
10 1414 9
10 1736 1
10 2486 92
10 2503 -57
11 304 1
11 914 -79
11 1736 1
11 1931 -79
11 2046 -98
11 2877 -82
12 633 -94
12 1736 1
13 21 82
13 304 1
13 1135 75
13 1329 7
13 1546 -38
13 1689 -25
13 1736 1
13 2156 45
14 304 1
14 333 -35
14 1331 -43
14 1736 1
14 1808 68
14 2581 -55
15 388 -43
15 1736 1
16 304 1
16 1736 1
16 1807 -27
16 1831 2
16 1889 7
16 2125 -98
17 1004 90
17 1630 -45
17 1736 1
17 2927 2
18 304 1
18 1695 -98
18 2887 -25
19 304 1
19 728 -79
19 869 38
19 1736 1
19 2139 -70
20 1736 1
20 2822 70
21 304 1
21 1736 1
21 2966 39
22 304 1
22 571 -38
23 1197 47
23 1736 1
24 304 1
24 1437 21
25 1624 -81
25 1736 1
25 1909 -69
26 304 1
26 1491 -28
26 1705 -57
27 304 1
27 501 51
27 735 79
27 821 -74
27 841 26
27 1622 29
27 1736 1
28 304 1
28 1736 1
28 1819 -86
28 1975 53
28 2206 -64
28 2580 -35
28 2965 56
29 42 100
29 95 34
29 304 1
29 310 56
29 533 72
29 1129 -76
29 1508 -14
29 1736 1
29 2469 -58
30 304 1
30 579 -79
30 1579 -71
30 1736 1
31 304 1
31 1736 1
31 2151 98
31 2867 -89
32 244 -1
32 304 1
32 1736 1
32 2400 13
33 304 1
33 704 67
33 1736 1
33 1878 96
34 889 16
34 1736 1
35 304 1
35 1190 -42
36 304 1
36 1420 72
36 2096 4
36 2192 48
37 244 -63
37 304 1
37 766 4
37 1289 -48
38 982 -85
38 1736 1
39 134 -34
39 304 1
39 382 18
39 1894 68
40 100 88
40 1736 1
41 304 1
41 460 -10
41 1290 65
41 1430 30
41 1736 1
41 2334 -79
41 2676 -47
41 2886 -1
42 304 1
42 420 -45
42 1060 32
42 1365 -5
42 1736 1
42 2500 19
43 49 -73
43 1391 -95
43 1736 1
44 304 1
44 1080 -68
44 1525 52
44 1736 1
45 405 59
45 1736 1
46 601 98
46 1736 1
46 2201 69
47 651 88
47 1691 -14
47 1736 1
48 270 -14
48 1736 1
48 2077 -69
49 1406 77
49 1736 1
50 304 1
50 1138 -21
50 1465 -11
50 2172 -72
50 2843 -10
51 304 1
51 750 -8
52 513 -99
52 1170 88
52 1736 1
53 285 -79
53 304 1
53 401 32
53 582 39
53 1127 72
53 1736 1
53 1743 -89
53 2382 -67
53 2584 45
54 143 -65
54 304 1
54 447 12
54 690 -75
54 1052 -2
54 1736 1
54 1948 -59
55 209 -11
55 304 1
55 449 15
55 485 -87
55 1423 -92
55 1736 1
55 2980 9
56 879 17
56 1736 1
57 304 1
57 1396 57
57 1684 76
58 1614 90
58 1664 -63
58 1736 1
59 304 1
59 2924 12
60 187 -95
60 228 -4
60 304 1
60 906 5
60 1736 1
61 131 -89
61 1204 74
61 1736 1
61 2621 -100
62 304 1
62 1299 -89
63 1736 1
63 2167 -48
64 207 -12
64 304 1
64 328 81
64 912 -33
64 1497 -96
64 1736 1
64 2817 -35
65 1736 1
65 2473 20
65 2754 73
66 304 1
66 1277 20
66 2205 -58
66 2258 -47
67 1736 1
67 2369 85
68 304 1
68 1655 -77
68 1683 55
68 1736 1
68 1791 41
68 2568 47
69 304 1
69 2262 80
70 96 -55
70 304 1
70 788 39
70 1736 1
70 2360 89
71 304 1
71 1024 -68
72 1736 1
72 1906 35
72 2501 10
73 364 -66
73 1701 -14
73 1736 1
74 304 1
74 1932 -81
75 119 25
75 283 44
75 1736 1
76 304 1
76 1277 -42
76 1736 1
76 2330 -55
76 2753 69
77 304 1
77 1684 81
77 1715 -92
77 1725 20
77 1736 1
77 2574 -51
77 2599 -77
78 1127 -37
78 1736 1
79 434 48
79 657 -60
79 1736 1
80 108 -37
80 220 -73
80 467 75
80 1657 93
80 1736 1
81 304 1
81 962 97
81 969 -41
81 1004 -19
81 1375 47
81 1736 1
82 1736 1
82 2532 -81
83 372 62
83 1736 1
83 2629 9
83 2664 -39
83 2717 60
84 167 -32
84 304 1
84 670 55
84 1078 -53
84 1589 -32
84 1736 1
84 1822 -71
85 304 1
85 901 -39
85 1736 1
85 2136 62
86 404 -17
86 1736 1
87 197 -39
87 304 1
87 392 -74
87 1736 1
88 437 -29
88 1736 1
89 304 1
89 2071 86
89 2935 -79
90 304 1
90 835 -3
90 1032 39
90 1531 21
90 1736 1
90 1896 -15
90 2799 14
91 304 1
91 1736 1
91 1810 65
91 2765 32
92 304 1
92 716 33
92 828 65
92 886 -32
92 1736 1
92 2609 -86
93 1736 1
93 1893 -7
93 2320 66
93 2509 -51
94 171 30
94 173 -95
94 304 1
94 845 -9
94 1439 -93
94 1736 1
94 1938 -93
94 1970 -67
95 304 1
95 2475 36
96 304 1
96 417 29
96 760 -53
96 1367 15
96 1379 -85
96 1736 1
96 2168 -33
96 2431 -43
96 2892 -83
96 2980 23
97 304 1
97 1554 -83
97 2067 -100
98 657 23
98 1736 1
99 304 1
99 579 35
99 1725 -32
99 1736 1
99 2893 -53
100 304 1
100 379 24
100 769 51
100 1736 1
100 2645 -99
100 2841 -66
101 304 1
101 633 -82
101 831 1
101 1231 12
101 1736 1
101 2172 84
102 304 1
102 385 -61
102 1736 1
102 2462 -5
102 2583 74
102 2866 90
103 778 -20
103 1736 1
103 2038 83
104 304 1
104 1018 46
105 304 1
105 1598 -58
105 1736 1
105 2133 94
105 2292 -89
106 233 31
106 292 -77
106 304 1
106 1382 -10
106 1736 1
106 1758 -66
106 1894 -34
106 1989 -14
106 2512 -32
106 2903 -79
107 204 73
107 304 1
107 415 91
107 1056 -31
107 1704 -13
107 1736 1
107 2021 -27
107 2442 -6
107 2966 -72
108 1435 -73
108 1736 1
108 2395 80
109 304 1
109 2551 -25
110 304 1
110 871 -63
110 1292 41
111 248 96
111 1736 1
111 1746 -100
111 2355 -52
111 2520 -34
112 304 1
112 689 47
112 1287 -54
113 1655 -11
113 1736 1
113 2186 -89
113 2664 -62
114 304 1
114 709 -14
114 1285 25
114 1616 -77
114 1736 1
114 1970 -17
115 304 1
115 429 33
115 1277 94
115 1736 1
115 2718 -52
115 2737 -11
115 2739 28
116 886 -43
116 1736 1
116 2329 81
116 2532 83
117 156 -92
117 1736 1
117 1762 -25
117 2200 -68
118 304 1
118 1353 -48
119 1736 1
119 1835 55
119 2589 38
120 304 1
120 788 -97
120 821 31
120 1206 -37
120 1736 1
120 2108 67
120 2452 -73
120 2867 63
120 2874 30
121 304 1
121 555 19
121 1316 50
121 1736 1
121 2062 98
121 2302 59
121 2350 91
122 592 10
122 801 -60
122 857 -22
122 1736 1
122 1935 -5
123 162 42
123 304 1
123 1491 -7
123 1736 1
123 2083 22
123 2305 83
124 304 1
124 435 -91
124 1736 1
124 2249 73
124 2534 -49
124 2575 -54
125 304 1
125 644 71
125 1071 -20
126 304 1
126 780 75
126 2201 100
127 304 1
127 736 21
128 547 68
128 1255 -68
128 1707 -62
128 1736 1
128 2935 97
129 1736 1
129 2217 -81
129 2322 -25
130 1063 60
130 1736 1
131 304 1
131 376 -76
131 1308 -89
131 1522 -57
131 1736 1
131 2544 -17
131 2686 25
131 2796 -73
131 2883 -62
132 304 1
132 483 -33
132 1608 56
132 2192 -7
132 2563 -22
133 1387 60
133 1736 1
134 304 1
134 2158 -74
135 304 1
135 1475 50
135 2226 -86
136 203 52
136 304 1
136 1128 -39
137 304 1
137 1242 -22
137 2051 -43
138 304 1
138 738 99
138 1089 -30
138 1397 -5
139 304 1
139 511 59
139 945 98
139 2657 -68
140 304 1
140 2056 94
141 304 1
141 2488 59
142 287 -60
142 304 1
142 494 18
142 1736 1
142 1945 1
142 2242 -83
142 2683 -69
142 2725 -61
142 2804 36
142 2942 -88
143 1736 1
144 304 1
144 1266 52
144 1630 35
144 1736 1
145 304 1
145 352 21
145 937 -91
146 304 1
146 960 12
147 214 99
147 304 1
147 891 68
147 915 -57
148 1736 1
148 2003 4
149 566 -22
149 1181 -68
149 1401 44
149 1736 1
149 2964 96
150 304 1
150 423 54
150 1736 1
150 2605 47
150 2751 -79
151 304 1
151 1700 49
151 2603 -43
152 304 1
152 1600 26
153 304 1
153 2591 91
154 304 1
154 448 85
154 2385 -54
155 304 1
155 1383 -31
155 1736 1
155 2457 17
156 1458 92
156 1736 1
157 304 1
157 573 6
157 1704 -22
157 1736 1
157 1805 96
157 2689 84
158 304 1
158 663 -26
158 671 -78
159 304 1
159 1342 -22
159 1736 1
159 2083 -100
159 2619 90
160 1711 78
160 1736 1
161 322 -21
161 1736 1
162 304 1
163 304 1
163 1289 -28
163 2953 -61
164 1002 -22
164 1736 1
165 304 1
165 1878 -53
165 2318 46
166 1041 -33
166 1736 1
166 1880 99
167 1291 -91
167 1736 1
167 2109 -9
167 2658 -75
167 2878 78
168 769 -12
168 1736 1
169 304 1
169 2501 -6
170 304 1
170 989 -88
170 1195 -64
170 1736 1
170 1803 -65
170 2199 68
170 2871 84
171 304 1
171 1663 61
171 1736 1
171 1933 26
171 2886 -35
172 287 17
172 304 1
172 1851 16
173 304 1
173 384 -57
173 541 84
173 1736 1
173 2065 -99
173 2292 39
173 2426 96
174 538 -10
174 1480 -47
174 1736 1
174 2721 32
175 304 1
175 652 1
175 1736 1
175 1803 60
175 2960 92
176 304 1
176 445 65
176 1672 -12
176 1736 1
176 2604 51
177 1482 -6
177 1713 -78
177 1736 1
177 2355 56
178 300 30
178 304 1
178 2786 47
179 304 1
179 675 62
179 2436 46
180 304 1
180 432 -30
180 780 99
180 1276 98
181 304 1
181 528 -5
181 2098 72
182 304 1
182 1548 73
183 195 65
183 304 1
183 1678 93
184 1736 1
184 2776 49
185 304 1
185 1858 83
185 2310 -78
186 1577 77
186 1638 -94
186 1736 1
186 2077 -1
187 304 1
187 914 -57
187 1775 -15
188 304 1
188 1736 1
188 1757 5
188 1767 -90
188 1902 48
188 2665 6
188 2831 -45
189 619 -95
189 1269 43
189 1736 1
190 304 1
190 411 18
190 612 -26
190 827 -79
190 839 13
190 879 88
190 1736 1
191 1736 1
191 2417 -69
192 304 1
192 1386 -68
192 2655 -47
192 2962 85
193 312 -17
193 1736 1
194 1736 1
194 1915 -65
194 2620 40
195 304 1
195 1335 -66
195 1338 99
195 1736 1
195 2256 19
196 304 1
196 1262 7
196 1736 1
196 1849 -100
196 2834 -94
197 304 1
197 897 -27
197 2328 77
198 1736 1
198 2944 -65
199 1721 75
199 1736 1
200 1736 1
200 1746 77
201 304 1
201 704 93
201 1476 -16
201 1736 1
201 2073 -62
201 2122 36
202 301 94
202 304 1
202 1065 89
202 1736 1
202 2112 -24
202 2396 16
203 304 1
203 522 -71
203 2080 -9
204 1282 -49
204 1736 1
204 1769 46
205 1416 -33
205 1736 1
205 1844 67
206 304 1
206 2088 -58
207 304 1
207 334 54
207 502 -14
207 556 42
207 1322 -41
207 1736 1
207 2556 98
208 304 1
208 2307 -82
209 304 1
209 520 62
209 1656 34
209 1736 1
209 2477 67
209 2506 -40
209 2934 -95
210 1470 28
210 1736 1
210 2654 21
211 304 1
211 2098 -3
211 2384 27
211 2485 -21
212 304 1
212 2795 14
213 1157 -34
213 1736 1
214 304 1
214 2637 -12
215 1350 -65
215 1736 1
216 304 1
216 647 55
216 1020 12
216 1700 -91
216 1736 1
216 1888 -88
216 2927 -79
217 304 1
217 2124 -15
218 304 1
218 641 -50
219 1736 1
219 1816 37
219 2822 65
219 2978 51
220 304 1
220 1736 1
220 1881 -67
220 2732 54
221 304 1
221 361 61
222 304 1
222 631 17
222 1842 -99
222 2216 65
223 1674 -39
223 1736 1
223 2629 61
224 304 1
224 685 -96
224 1408 -7
224 1736 1
225 304 1
225 542 6
225 1068 -22
225 1315 -81
225 1736 1
225 1973 58
225 2672 80
226 369 12
226 987 -66
226 1029 17
226 1736 1
227 1736 1
227 2370 7
227 2500 11
228 1736 1
229 304 1
229 789 45
229 2375 -48
230 1736 1
230 2321 66
230 2727 79
231 304 1
231 2162 80
232 304 1
232 1424 95
232 2191 -19
233 237 -94
233 304 1
233 344 64
233 1233 40
233 1736 1
233 1810 35
233 2153 -21
234 915 55
234 1145 68
234 1736 1
235 1736 1
235 1940 -67
235 2128 -35
236 711 -78
236 1722 -36
236 1736 1
236 2425 9
236 2478 -30
236 2763 29
236 2849 56
237 304 1
238 304 1
238 750 80
238 1876 -47
238 2247 59
239 735 96
239 1304 43
239 1736 1
240 260 43
240 304 1
240 2030 9
241 304 1
241 1222 -34
241 1736 1
241 1850 -50
241 2107 99
242 745 27
242 753 -24
242 1736 1
242 2081 38
243 304 1
243 581 37
243 2997 -37
244 288 -30
244 304 1
244 362 -59
244 1673 -82
244 1736 1
244 2263 6
245 304 1
245 1231 -69
245 1798 94
246 1736 1
246 1857 61
247 747 -94
247 1736 1
247 2845 -61
248 304 1
248 1736 1
248 1756 -85
248 2367 12
249 256 -3
249 304 1
249 1736 1
249 2395 -6
249 2434 -54
250 304 1
250 1695 33
251 692 -81
251 1736 1
251 1793 39
251 2267 -56
252 518 -17
252 1736 1
253 1736 1
253 2155 -91
253 2876 -71
254 304 1
254 345 -95
254 1436 -62
254 1736 1
254 2171 -50
254 2629 88
254 2943 -99
254 2955 -92
255 304 1
255 644 -69
255 1591 -58
255 1736 1
255 2976 -86
256 1736 1
257 258 83
257 304 1
257 800 -7
257 969 -19
257 1736 1
258 304 1
258 881 -29
258 2442 84
258 2862 37
259 304 1
259 427 3
259 798 -30
259 941 -1
259 1736 1
260 304 1
260 328 57
260 2714 -21
261 304 1
261 503 -48
261 1736 1
261 1851 53
261 2228 -70
262 1736 1
262 2073 54
263 304 1
263 319 33
263 1318 23
263 1594 77
263 1736 1
263 1863 49
263 2088 -10
263 2238 -71
264 823 -76
264 1736 1
264 2051 -23
265 304 1
265 328 -77
265 1149 -36
265 1221 -78
265 1273 76
265 1279 -97
265 1736 1
265 1803 64
265 2460 -69
266 298 -12
266 1736 1
267 304 1
267 684 91
267 1029 7
267 1171 -2
267 1736 1
267 1814 -73
267 1990 -40
267 2095 54
267 2482 -14
268 469 -51
268 1736 1
269 304 1
269 800 69
269 1736 1
269 2433 -40
269 2476 37
269 2899 -26
269 2960 -77
270 1736 1
270 2041 -81
271 304 1
271 1697 -37
272 304 1
272 1567 -63
272 2289 -76
272 2447 83
273 304 1
273 530 -23
273 2608 -3
273 2889 9
274 304 1
274 1736 1
274 2341 15
274 2443 -19
274 2670 -68
274 2721 7
275 304 1
275 821 -89
275 1688 6
275 1736 1
275 2019 4
276 304 1
276 1403 9
276 2155 -25
277 972 -56
277 1202 -76
277 1736 1
277 1795 -3
277 2242 88
277 2967 -41
278 304 1
278 1372 5
278 2632 3
279 328 -57
279 1736 1
280 304 1
280 1393 -56
281 304 1
281 1034 28
281 1511 15
281 1567 61
281 1736 1
281 2588 66
281 2798 -3
281 2915 1
282 304 1
282 1114 -85
282 1220 -27
283 304 1
283 854 -4
283 1736 1
283 1963 -88
283 2070 -59
284 1736 1
284 1908 63
284 2775 -23
285 303 -21
285 304 1
285 1261 27
285 1736 1
286 304 1
286 631 54
286 1187 25
286 1241 2
286 1736 1
286 2431 -78
287 304 1
287 1736 1
287 1778 -14
287 2978 -42
288 304 1
288 1586 64
288 1736 1
288 2830 -89
289 304 1
289 973 83
289 2465 72
290 304 1
290 1736 1
290 1774 76
290 1958 52
290 2015 -25
291 304 1
291 968 55
291 992 76
292 304 1
292 1554 -87
292 1736 1
292 2323 3
293 304 1
293 1115 100
293 2598 -30
294 304 1
294 720 -49
295 304 1
295 2670 -14
296 304 1
296 1428 -59
297 659 -33
297 1736 1
298 304 1
298 1429 100
298 1736 1
298 1924 -24
298 2662 86
298 2884 -80
299 1534 18
299 1736 1
300 304 1
300 1736 1
300 2066 -51
300 2300 19
300 2755 48
301 304 1
301 1402 -67
301 1736 1
301 2698 -33
302 304 1
302 1149 77
303 304 1
303 785 96
304 305 1
304 306 1
304 307 1
304 308 1
304 309 1
304 311 1
304 314 1
304 315 1
304 316 1
304 317 1
304 318 1
304 319 1
304 320 1
304 321 1
304 322 1
304 323 1
304 324 1
304 325 1
304 327 1
304 328 1
304 330 1
304 332 1
304 333 1
304 334 1
304 336 1
304 337 1
304 338 1
304 339 1
304 340 1
304 342 1
304 343 1
304 345 1
304 346 1
304 348 1
304 349 1
304 352 1
304 354 1
304 355 1
304 357 1
304 359 1
304 361 1
304 365 1
304 367 1
304 368 1
304 369 1
304 370 1
304 371 1
304 372 1
304 374 1
304 375 1
304 376 1
304 378 1
304 379 1
304 382 1
304 383 1
304 384 1
304 385 1
304 387 1
304 388 1
304 389 1
304 390 1
304 391 1
304 393 1
304 394 1
304 395 1
304 396 1
304 397 1
304 399 1
304 400 1
304 401 1
304 403 1
304 407 1
304 409 1
304 410 1
304 413 1
304 414 1
304 416 1
304 420 1
304 421 1
304 423 1
304 424 1
304 426 1
304 429 1
304 430 1
304 432 1
304 436 1
304 437 1
304 438 1
304 439 1
304 440 1
304 442 1
304 443 1
304 444 1
304 448 1
304 449 1
304 451 1
304 452 1
304 455 1
304 456 1
304 458 1
304 459 1
304 460 1
304 463 1
304 464 1
304 465 1
304 467 1
304 468 1
304 469 1
304 471 1
304 474 1
304 476 1
304 477 1
304 479 1
304 480 1
304 483 1
304 484 1
304 485 1
304 487 1
304 488 1
304 491 1
304 494 1
304 495 1
304 498 1
304 499 1
304 500 1
304 501 1
304 502 1
304 503 1
304 505 1
304 506 1
304 507 1
304 511 1
304 512 1
304 514 1
304 517 1
304 518 1
304 520 1
304 521 1
304 522 1
304 524 1
304 526 1
304 527 1
304 528 1
304 530 1
304 531 1
304 534 1
304 537 1
304 538 1
304 539 1
304 540 1
304 541 1
304 542 1
304 543 1
304 544 1
304 546 1
304 548 1
304 549 1
304 550 1
304 552 1
304 553 1
304 554 1
304 555 1
304 556 1
304 557 1
304 558 1
304 559 1
304 561 1
304 562 1
304 563 1
304 564 1
304 565 1
304 567 1
304 570 1
304 571 1
304 572 1
304 575 1
304 576 1
304 577 1
304 581 1
304 582 1
304 583 1
304 584 1
304 585 1
304 589 1
304 590 1
304 591 1
304 592 1
304 593 1
304 594 1
304 595 1
304 596 1
304 597 1
304 598 1
304 599 1
304 600 1
304 602 1
304 603 1
304 606 1
304 607 1
304 608 1
304 609 1
304 611 1
304 613 1
304 614 1
304 616 1
304 617 1
304 620 1
